ID,True Label,Predicted Label,Token
0,O,O,“
0,O,O,Overall
0,O,O,it
0,O,O,reminds
0,O,O,me
0,O,O,of
0,O,O,the
0,O,O,form
0,O,O,of
0,O,O,co-operative
0,O,O,associations
0,O,O,or
0,O,O,mutuals
0,O,O,","
0,O,B-PER,”
0,O,I-PER,says
0,O,O,Dr
0,B-PER,O,Yoshikatsu
0,I-PER,O,Shinozawa
0,O,O,","
0,O,O,senior
0,O,B-ORG,lecturer
0,O,I-ORG,in
0,O,O,financial
0,O,O,studies
0,O,O,at
0,O,O,the
0,B-ORG,O,University
0,I-ORG,O,of
0,I-ORG,O,London
0,O,O,’s
0,B-ORG,O,School
0,I-ORG,O,of
0,I-ORG,O,Oriental
0,I-ORG,O,and
0,I-ORG,O,African
0,I-ORG,O,Studies
0,O,O,and
0,O,O,a
0,O,O,former
0,B-LOC,O,Tokyo
0,O,O,fund
0,O,O,manager
0,O,O,.
1,O,O,Bank
1,O,O,recapitalisation
1,O,O,is
1,O,O,set
1,O,O,to
1,O,O,dominate
1,O,O,talks
1,O,O,between
1,O,B-ORG,the
1,B-ORG,O,Syriza
1,O,B-LOC,government
1,O,O,and
1,B-LOC,O,Greece
1,O,O,'s
1,O,O,creditors
1,O,O,this
1,O,O,week
1,O,O,as
1,O,O,the
1,O,O,next
1,O,O,repayment
1,O,O,deadline
1,O,O,on
1,O,O,20
1,O,O,August
1,O,O,draws
1,O,O,closer
1,O,O,.
2,O,O,Highlights
2,O,O,from
2,O,O,the
2,O,O,analysis
2,O,O,by
2,B-ORG,B-ORG,The
2,I-ORG,I-ORG,Street
2,O,O,Ratings
3,O,O,""""
3,O,O,If
3,O,O,our
3,O,O,diverse
3,O,O,organisations
3,O,O,can
3,O,O,sit
3,O,O,down
3,O,O,together
3,O,O,and
3,O,O,nut
3,O,O,out
3,O,O,the
3,O,O,objectives
3,O,O,for
3,O,O,tax
3,O,O,reform
3,O,O,...
3,O,O,this
3,O,O,provides
3,O,O,our
3,O,O,political
3,O,O,leaders
3,O,O,with
3,O,O,a
3,O,O,solid
3,O,B-ORG,platform
3,O,O,of
3,O,B-PER,consensus
3,O,I-PER,and
3,O,O,support
3,O,O,to
3,O,O,take
3,O,O,things
3,O,O,forward
3,O,O,","
3,O,O,""""
3,B-ORG,O,BCA
3,O,O,chief
3,O,O,executive
3,B-PER,O,Jennifer
3,I-PER,O,Westacott
3,O,O,says
3,O,O,.
4,O,O,Act
4,O,O,does
4,O,O,not
4,O,O,prescribe
4,O,O,or
4,O,O,determine
4,O,O,who
4,O,O,has
4,O,O,the
4,O,O,legal
4,O,O,right
4,O,O,to
4,O,O,the
4,O,O,plan
4,O,O,on
4,O,O,the
4,O,O,death
4,O,O,of
4,O,O,the
4,O,O,subscriber
4,O,O,.
5,O,O,As
5,O,O,of
5,O,O,the
5,O,O,second
5,O,O,quarter
5,O,O,","
5,O,O,year
5,O,O,-
5,O,O,over
5,O,O,-
5,O,O,year
5,O,O,nonfarm
5,O,O,payroll
5,O,O,growth
5,O,O,is
5,O,O,averaging
5,O,O,around
5,O,O,2.1
5,O,O,%
5,O,O,and
5,O,O,GDP
5,O,B-ORG,growth
5,O,O,over
5,O,O,the
5,O,O,same
5,O,O,period
5,O,O,is
5,O,O,running
5,O,O,around
5,O,O,2.5
5,O,O,%
5,O,O,.
6,B-ORG,B-ORG,LifePoint
6,I-ORG,I-ORG,Health
6,I-ORG,I-ORG,Inc
6,O,O,Earnings
6,O,O,Call
6,O,O,(
6,O,O,Q2
6,O,O,2015
6,O,O,)
6,O,O,Scheduled
6,O,O,to
6,O,O,start
6,O,O,Fri
6,O,O,","
6,O,O,Jul
6,O,O,31
6,O,O,","
6,O,O,2015
6,O,O,","
6,O,O,10:00
6,O,O,am
6,O,O,Eastern
6,O,O,Check
6,O,O,back
6,O,O,at
6,O,O,the
6,O,O,scheduled
6,O,O,start
6,O,O,time
6,O,O,forthe
6,O,O,audio
6,O,O,link
6,O,O,to
6,O,O,appear
6,O,O,in
6,O,O,this
6,O,O,spot
6,O,O,.
7,O,O,Cash
7,O,O,from
7,O,O,around
7,O,O,the
7,O,O,world
7,O,O,has
7,O,O,been
7,O,O,flooding
7,O,O,into
7,O,O,the
7,O,O,property
7,O,O,market
7,O,O,in
7,O,O,a
7,O,O,bid
7,O,O,to
7,O,O,benefit
7,O,O,from
7,O,O,the
7,O,O,returns
7,O,O,it
7,O,O,can
7,O,O,generate
7,O,O,.
8,O,O,Not
8,O,O,only
8,O,O,is
8,O,O,work
8,O,O,drying
8,O,O,up
8,O,O,but
8,O,O,his
8,O,O,hourly
8,O,O,rates
8,O,O,are
8,O,O,under
8,O,O,pressure
8,O,O,as
8,O,B-LOC,unemployed
8,O,I-LOC,miners
8,O,O,return
8,O,O,from
8,B-LOC,O,Western
8,I-LOC,O,Australia
8,O,O,'s
8,B-LOC,O,north
8,I-LOC,O,-
8,I-LOC,O,west
8,O,O,and
8,O,O,cut
8,O,O,their
8,O,O,fees
8,O,O,to
8,O,O,secure
8,O,O,dwindling
8,O,O,work
8,O,O,.
9,O,B-ORG,Oath
9,O,I-ORG,Keepers
9,O,O,descend
9,O,O,on
9,B-PER,B-LOC,Ferguson
